Brand;Name;Length (mm);Width (mm);Height (mm);Weight (g);Shape;Hump placement;Front flare;Side curvature;Hand compatibility;Thumb rest;Ring finger rest;Material;Connectivity;Sensor;Sensor technology;Sensor position;DPI;Polling rate;Tracking speed (IPS);Acceleration (G);Side buttons;Middle buttons
Pulsar ZywOo;The Chosen Mouse - Mini;115.6;63.4;40.7;55.0;Ergonomic;Center;Outward - moderate;Inward;Right;No;No;Plastic;Wireless;Pulsar XS-1;Optical;Centered (51%);32000;8000;750;50;2;0
Pulsar ZywOo;The Chosen Mouse - Medium;122.0;66.0;43.0;59.0;Ergonomic;Center;Outward - moderate;Inward;Right;No;No;Plastic;Wireless;Pulsar XS-1;Optical;Centered (51%);32000;8000;750;50;2;0
WLmouse;Sword X;123.0;67.0;42.0;47.0;Ergonomic;Center;Outward - moderate;Inward;Right;No;No;Magnesium (metal);Wireless;PixArt PAW3950 HS;Optical;Centered (52%);30000;8000;750;50;2;0
Darmoshark;M3 Micro Pro;105.5;54.6;33.5;42.0;Symmetrical;Back - moderate;Outward - slight;Inward;Right;No;No;Plastic;Wireless;PixArt PAW3950;Optical;Front - minimal (54%);30000;8000;750;50;2;0
ASUS;ROG Gladius II Wireless;126.0;67.0;45.0;90.0;Ergonomic;Center;Outward - aggressive;Inward;Right;No;No;Plastic;Wireless;PixArt PMW3389;Optical;Front - minimal (53%);16000;1000;400;50;2;1
Incott;G23 V2 Pro;126.0;63.5;39.9;51.0;Symmetrical;Center;Outward - slight;Flat;Right;No;No;Plastic;Wireless;PixArt PAW3950ES-KING;Optical;Front - minimal (53%);30000;8000;750;50;2;0
Incott;G23 V2;126.0;63.5;39.9;47.0;Symmetrical;Center;Outward - slight;Flat;Right;No;No;Plastic;Wireless;PixArt PAW3395;Optical;Front - minimal (53%);26000;8000;650;50;2;0
Incott;G23 V2 SC;126.0;63.5;39.9;46.0;Symmetrical;Center;Outward - slight;Flat;Right;No;No;Plastic;Wireless;PixArt PAW3395;Optical;Front - minimal (53%);26000;8000;650;50;2;0
MAMBASNAKE;M5 Ultra;119.5;60.9;37.0;39.0;Symmetrical;Center;Outward - slight;Flat;Right;No;No;Carbon fiber composite;Wireless;PixArt PAW3950;Optical;Centered (52%);30000;8000;750;50;2;0
Nintendo;Joy-Con 2;116.0;14.4;42.0;73.0;Symmetrical;Center;Flat;Flat;Ambidextrous;No;No;Plastic;Wireless;-;-;Front - aggressive (60%);-;-;-;-;4;0
Angry Miao;AM Infinity Mouse;118.0;64.4;39.5;49.0;Symmetrical;Flat;Back - minimal;Outward - slight;Right;No;No;Magnesium (metal);Wireless;PixArt PAW3950;Optical;Centered (52%);30000;8000;750;50;2;0
PMM;ZEN 8K Mini;120.8;60.7;38.4;29.9;Symmetrical;Inward;Back - minimal;Outward - slight;Right;No;No;Plastic;Wireless;Razer Focus Pro Gen-2;Optical;-;35000;8000;750;70;2;0
Freewolf;A6;119.0;63.0;36.0;59.0;Symmetrical;Back - moderate;Outward - slight;Inward;Right;No;No;Plastic;Wireless;PixArt PAW3311;Optical;Centered (50%);24000;1000;300;35;2;1
VGN;Y2 Ultra;119.0;63.3;39.4;41.0;Hybrid;Back - moderate;Outward - slight;Inward;Right;No;No;Plastic;Wireless;PixArt PAW3950;Optical;Front - minimal (54%);42000;8000;750;50;2;0
VGN;Y2 Pro;119.0;63.3;39.4;42.0;Hybrid;Back - moderate;Outward - slight;Inward;Right;No;No;Plastic;Wireless;PixArt PAW3395;Optical;Front - minimal (54%);36000;8000;650;50;2;0
G-Wolves;HTM Plus 8K;127.6;63.9;37.3;33.4;Symmetrical;Inward;Back - minimal;Outward - slight;Right;No;No;Plastic;Wireless;PixArt PAW3950;Optical;Front - aggressive (64%);30000;8000;750;50;2;0
Corsair;Scimitar Elite Wireless SE;119.0;76.0;42.0;114.0;Ergonomic;Flat;Back - minimal;Flat;Right;No;Yes;Plastic;Wireless;Corsair MARKSMAN S;Optical;Back - minimal (45%);33000;1000;750;50;12;1
SteelSeries;Rival 3 Gen 2 Wireless;120.6;67.0;38.0;83.5;Symmetrical;Flat;Back - minimal;Inward;Right;No;No;Plastic;Wireless;SteelSeries TrueMove Air;Optical;Back - minimal (45%);18000;1000;400;40;2;1
SteelSeries;Rival 3 Gen 2;120.6;67.0;38.0;77.0;Symmetrical;Flat;Back - minimal;Inward;Right;No;No;Plastic;Wired;SteelSeries TrueMove Core;Optical;Back - minimal (45%);8500;1000;300;35;2;1
Pulsar;Xlite v4 eS Mini;115.6;63.4;40.7;61.0;Ergonomic;Center;Outward - moderate;Inward;Right;No;No;Plastic;Wireless;Pulsar XS-1;Optical;Front - moderate (56%);32000;8000;750;50;2;0
Pulsar;Xlite v4 eS Medium;122.0;67.0;43.0;65.0;Ergonomic;Center;Outward - moderate;Inward;Right;No;No;Plastic;Wireless;Pulsar XS-1;Optical;Front - moderate (56%);32000;8000;750;50;2;0
Pulsar;X2H v3 eS Mini;115.6;62.4;37.9;64.0;Symmetrical;Inward;Outward - slight;No;Right;Back - aggressive;No;Plastic;Wireless;Pulsar XS-1;Optical;Front - minimal (55%);32000;8000;750;50;2;0
Pulsar;X2H v3 eS;120.4;65.0;39.1;65.0;Symmetrical;Inward;Outward - slight;Back - aggressive;Right;No;No;Plastic;Wireless;Pulsar XS-1;Optical;Front - minimal (55%);32000;8000;750;50;2;0
